ref_date,geo,assets_and_debts,age,value
2016,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",3,55523
2016,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",4,69450
2016,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),0,11090
2016,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),1,26866
2016,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),2,71223
2016,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),3,112598
2016,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),4,66258
2016,"Toronto, Ontario","Financial assets, non pension",0,23510
2016,"Toronto, Ontario","Financial assets, non pension",1,23957
2016,"Toronto, Ontario","Financial assets, non pension",2,46042
2016,"Toronto, Ontario","Financial assets, non pension",3,80054
2016,"Toronto, Ontario","Financial assets, non pension",4,105651
2016,"Toronto, Ontario",Deposits in financial institutions,0,9894
2016,"Toronto, Ontario",Deposits in financial institutions,1,8673
2016,"Toronto, Ontario",Deposits in financial institutions,2,14978
2016,"Toronto, Ontario",Deposits in financial institutions,3,15486
2016,"Toronto, Ontario",Deposits in financial institutions,4,22526
2016,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",0,NA
2016,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",1,NA
2016,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",2,10846
2016,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",3,17315
2016,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",4,23898
2016,"Toronto, Ontario",Stocks,0,NA
2016,"Toronto, Ontario",Stocks,1,NA
2016,"Toronto, Ontario",Stocks,2,4205
2016,"Toronto, Ontario",Stocks,3,22487
2016,"Toronto, Ontario",Stocks,4,38920
2016,"Toronto, Ontario",Bonds (saving and other),0,NA
2016,"Toronto, Ontario",Bonds (saving and other),1,NA
2016,"Toronto, Ontario",Bonds (saving and other),2,NA
2016,"Toronto, Ontario",Bonds (saving and other),3,NA
2016,"Toronto, Ontario",Bonds (saving and other),4,NA
2016,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),0,3070
2016,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),1,3406
2016,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),2,4652
2016,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),3,5829
2016,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),4,8385
2016,"Toronto, Ontario",Other financial assets,0,4959
2016,"Toronto, Ontario",Other financial assets,1,3510
2016,"Toronto, Ontario",Other financial assets,2,11150
2016,"Toronto, Ontario",Other financial assets,3,14057
2016,"Toronto, Ontario",Other financial assets,4,10855
2016,"Toronto, Ontario",Non-financial assets,0,204591
2016,"Toronto, Ontario",Non-financial assets,1,242407
2016,"Toronto, Ontario",Non-financial assets,2,422382
2016,"Toronto, Ontario",Non-financial assets,3,328607
2016,"Toronto, Ontario",Non-financial assets,4,300620
2016,"Toronto, Ontario",Principal residence,0,139114
2016,"Toronto, Ontario",Principal residence,1,198059
2016,"Toronto, Ontario",Principal residence,2,326693
2016,"Toronto, Ontario",Principal residence,3,247555
2016,"Toronto, Ontario",Principal residence,4,236609
2016,"Toronto, Ontario",Other real estate,0,49078
2016,"Toronto, Ontario",Other real estate,1,30966
